id_orgao_julgador,sigla_tribunal,ramo_justica,sigla_grau_G2,id_formato,procedimento_1,procedimento_3,procedimento_4,procedimento_5,procedimento_6,procedimento_7,originario,ultimo_dia,ind1,ind2,ind16_dias,ind16_proc,ind5,ind6a,ind8a,ind9,ind10,ind13a,ind13b,ind4,ind11,ind24,ind25,ind26,formato_Físico,grau,tramit_tmp
33688,TRT1,Justiça do Trabalho,0,1,0,0,0,0,0,0,Sim,2023-04-30,185,8075,33851,24,8032,5353,76,3,68,1,2,43,87,23,78,8,0,Primeiro Grau,1410.4583333333333
33688,TRT1,Justiça do Trabalho,0,1,0,0,0,1,0,0,Sim,2023-04-30,,1035,289,1,990,756,4,0,3,0,0,45,0,1,3,0,0,Primeiro Grau,289.0
33688,TRT1,Justiça do Trabalho,0,2,0,0,0,0,0,0,Sim,2023-04-30,,864,7477,2,864,0,0,0,0,0,0,0,0,0,0,0,1,Primeiro Grau,3738.5
33688,TRT1,Justiça do Trabalho,0,2,0,0,0,1,0,0,Sim,2023-04-30,,25,1346,1,25,0,1,0,0,0,0,0,0,0,0,0,1,Primeiro Grau,1346.0
33689,TRT1,Justiça do Trabalho,0,1,0,0,0,0,0,0,Sim,2023-04-30,111,8128,73169,74,8123,4706,383,0,346,3,3,5,163,74,91,66,0,Primeiro Grau,988.7702702702703
33689,TRT1,Justiça do Trabalho,0,1,0,0,0,1,0,0,Sim,2023-04-30,,704,2002,1,703,441,34,0,1,0,0,1,1,2,3,2,0,Primeiro Grau,2002.0
33690,TRT1,Justiça do Trabalho,0,1,0,0,0,0,0,0,Sim,2023-04-30,110,9474,58234,66,9228,6241,207,1,174,7,12,246,114,14,62,15,0,Primeiro Grau,882.3333333333334
33690,TRT1,Justiça do Trabalho,0,1,0,0,0,1,0,0,Sim,2023-04-30,,860,3396,3,847,582,4,0,1,0,0,13,0,0,6,0,0,Primeiro Grau,1132.0
33691,TRT1,Justiça do Trabalho,0,1,0,0,0,0,0,1,Sim,2023-04-30,,1427,603,1,1425,303,2,0,3,0,0,2,1,0,0,0,0,Primeiro Grau,603.0
33691,TRT1,Justiça do Trabalho,0,1,0,0,0,0,0,0,Sim,2023-04-30,65,8362,84184,66,7979,5643,261,1,168,2,6,383,50,34,73,17,0,Primeiro Grau,1275.5151515151515
33691,TRT1,Justiça do Trabalho,0,2,0,0,0,0,0,0,Sim,2023-04-30,,1275,9642,2,1275,0,0,0,0,0,0,0,0,0,0,0,1,Primeiro Grau,4821.0
33692,TRT1,Justiça do Trabalho,0,1,0,0,0,0,0,0,Sim,2023-04-30,95,7182,13562,13,7160,4477,141,0,124,3,8,22,115,17,40,29,0,Primeiro Grau,1043.2307692307693
33692,TRT1,Justiça do Trabalho,0,1,0,0,0,1,0,0,Sim,2023-04-30,1,832,2353,1,829,549,9,0,9,0,0,3,0,2,0,2,0,Primeiro Grau,2353.0
