id_orgao_julgador,sigla_tribunal,ramo_justica,sigla_grau,id_formato,procedimento,originario,ultimo_dia,ind1,ind2,ind16_dias,ind16_proc,ind5,ind18_dias,ind6a,ind8a,ind9,ind10,ind13a,ind13b,ind18_proc,ind4,ind11,ind24,ind25,ind26,formato,grau,bx_tmp,tramit_tmp
33688,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,3,381,6284,1,377,506911,2,1,25,0,0,0,377,4,0,0,1,0,Eletrônico,Primeiro Grau,6284.0,1344.5915119363394
33688,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,124,2452,242567,333,2406,1666284,147,154,262,264,1,5,2406,46,139,14,53,17,Eletrônico,Primeiro Grau,728.4294294294294,692.5536159600997
33688,TRT1,Justiça do Trabalho,G1,1,Execução fiscal,Sim,2024-01-31,0,15,5316,1,6,19739,0,0,1,0,0,0,6,9,0,0,0,0,Eletrônico,Primeiro Grau,5316.0,3289.8333333333335
33688,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,232,3261,112450,79,2167,2476444,242,206,485,379,0,0,2167,1094,8,6,20,10,Eletrônico,Primeiro Grau,1423.4177215189873,1142.7983387171205
33689,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,9,425,5,5,425,449656,1,0,35,0,0,0,425,0,0,0,0,0,Eletrônico,Primeiro Grau,1.0,1058.0141176470588
33689,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,87,1844,33423,57,1814,717102,280,79,658,57,0,4,1814,30,96,14,36,6,Eletrônico,Primeiro Grau,586.3684210526316,395.31532524807056
33689,TRT1,Justiça do Trabalho,G1,1,Execução extrajudicial não fiscal,Sim,2024-01-31,0,4,929,1,3,7499,0,1,2,1,0,0,3,1,0,0,0,0,Eletrônico,Primeiro Grau,929.0,2499.6666666666665
33689,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,41,2728,80469,70,1537,1245321,25,68,877,122,0,0,1537,1191,1,4,22,7,Eletrônico,Primeiro Grau,1149.557142857143,810.2283669486012
33690,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,5,345,2,2,343,389041,7,1,8,1,0,0,343,2,0,1,2,0,Eletrônico,Primeiro Grau,1.0,1134.2303206997085
33690,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,122,2367,75820,103,2330,1158864,92,134,227,163,14,11,2330,37,83,44,52,73,Eletrônico,Primeiro Grau,736.1165048543689,497.36652360515023
33690,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,53,3243,62809,55,1883,2050976,131,95,379,114,0,0,1883,1360,0,7,38,8,Eletrônico,Primeiro Grau,1141.9818181818182,1089.206585236325
33691,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,3,395,6655,1,382,559153,16,1,16,1,0,0,382,13,0,0,2,0,Eletrônico,Primeiro Grau,6655.0,1463.7513089005236
33691,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,55,2487,99624,63,2418,2643013,353,106,623,129,1,7,2418,69,65,79,100,44,Eletrônico,Primeiro Grau,1581.3333333333333,1093.0574855252275
33691,TRT1,Justiça do Trabalho,G1,1,Execução extrajudicial não fiscal,Sim,2024-01-31,0,13,2870,1,11,8303,1,0,1,0,0,0,11,2,0,0,0,0,Eletrônico,Primeiro Grau,2870.0,754.8181818181819
33691,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,111,4249,122805,66,2924,4107075,665,51,655,132,2,0,2924,1325,0,7,46,1,Eletrônico,Primeiro Grau,1860.6818181818182,1404.608413132695
33692,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,73,2577,32945,49,2538,1452078,111,70,195,81,4,3,2538,39,83,15,42,29,Eletrônico,Primeiro Grau,672.3469387755102,572.1347517730496
33692,TRT1,Justiça do Trabalho,G1,1,Execução extrajudicial não fiscal,Sim,2024-01-31,0,12,2034,1,6,4971,0,1,5,1,0,0,6,6,0,0,0,0,Eletrônico,Primeiro Grau,2034.0,828.5
33692,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,29,2133,25162,33,952,1439568,13,63,587,127,0,2,952,1181,0,1,4,2,Eletrônico,Primeiro Grau,762.4848484848485,1512.1512605042017
33693,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,5,491,4,2,485,663814,0,0,13,0,0,0,485,6,0,0,0,0,Eletrônico,Primeiro Grau,2.0,1368.6886597938144
33693,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,88,1934,35468,41,1918,966172,25,40,198,100,4,7,1918,16,70,16,23,6,Eletrônico,Primeiro Grau,865.0731707317074,503.7393117831074
33693,TRT1,Justiça do Trabalho,G1,1,Execução extrajudicial não fiscal,Sim,2024-01-31,0,20,1337,1,16,13495,1,4,5,1,0,0,16,4,0,0,0,0,Eletrônico,Primeiro Grau,1337.0,843.4375
33693,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,34,1916,26430,32,1029,1003831,60,60,388,89,0,0,1029,887,0,6,11,1,Eletrônico,Primeiro Grau,825.9375,975.5403304178815
33694,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,3,207,1,1,190,221001,4,0,5,0,0,0,190,17,0,0,0,0,Eletrônico,Primeiro Grau,1.0,1163.1631578947367
33694,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,56,1197,37637,62,1171,661223,112,37,190,40,3,5,1171,26,40,13,30,6,Eletrônico,Primeiro Grau,607.0483870967741,564.6652433817251
33694,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,24,2232,4411,9,1446,2198857,196,36,133,20,0,1,1446,786,1,1,29,1,Eletrônico,Primeiro Grau,490.1111111111111,1520.6479944674966
33695,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,3,245,4,1,234,296629,1,0,8,0,0,0,234,11,0,0,0,0,Eletrônico,Primeiro Grau,4.0,1267.645299145299
33695,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,61,1140,53408,68,1099,750745,217,105,210,125,3,6,1099,41,58,29,46,2,Eletrônico,Primeiro Grau,785.4117647058823,683.1164695177434
33695,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,38,3178,87111,59,1981,3841639,158,58,658,122,0,0,1981,1197,0,3,7,2,Eletrônico,Primeiro Grau,1476.457627118644,1939.2423018677437
33696,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,4,224,1,1,218,245390,2,0,7,2,0,0,218,6,0,1,1,0,Eletrônico,Primeiro Grau,1.0,1125.6422018348624
33696,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,58,1343,131015,250,1291,579473,129,47,195,98,1,3,1291,52,70,11,37,6,Eletrônico,Primeiro Grau,524.06,448.8559256390395
33696,TRT1,Justiça do Trabalho,G1,1,Execução extrajudicial não fiscal,Sim,2024-01-31,1,9,1144,1,7,8736,0,1,5,1,0,0,7,2,0,0,0,0,Eletrônico,Primeiro Grau,1144.0,1248.0
33696,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,218,1993,42280,54,1124,1353590,59,83,267,318,0,0,1124,869,2,5,5,1,Eletrônico,Primeiro Grau,782.9629629629629,1204.261565836299
33697,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,3,172,3,3,172,159164,0,0,8,0,0,0,172,0,0,0,0,0,Eletrônico,Primeiro Grau,1.0,925.3720930232558
33697,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,48,782,23034,75,743,184041,29,36,187,108,1,2,743,39,68,9,10,12,Eletrônico,Primeiro Grau,307.12,247.69986541049798
33697,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,47,1773,19061,30,1070,740452,12,29,277,64,0,0,1070,703,4,2,34,2,Eletrônico,Primeiro Grau,635.3666666666667,692.0112149532711
33713,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,4,193,23,1,193,181470,1,0,2,0,0,0,193,0,0,0,0,0,Eletrônico,Primeiro Grau,23.0,940.259067357513
33713,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,102,1963,40908,78,1923,720783,92,84,386,100,11,6,1923,40,74,25,33,27,Eletrônico,Primeiro Grau,524.4615384615385,374.8221528861154
33713,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,45,1698,8194,24,1265,1034181,205,36,314,59,0,0,1265,433,0,2,6,1,Eletrônico,Primeiro Grau,341.4166666666667,817.5343873517786
33714,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,2,191,2,2,190,190250,4,2,4,0,0,0,190,1,0,0,0,0,Eletrônico,Primeiro Grau,1.0,1001.3157894736842
33714,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,87,1862,36578,67,1853,1027444,310,108,178,74,1,7,1853,9,125,23,40,8,Eletrônico,Primeiro Grau,545.9402985074627,554.4759848893686
33714,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,23,2579,160269,103,1917,2135807,363,119,545,18,0,0,1917,662,1,4,24,8,Eletrônico,Primeiro Grau,1556.009708737864,1114.1403234220136
33715,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,4,189,1,1,188,176744,0,0,7,0,0,0,188,1,0,0,0,0,Eletrônico,Primeiro Grau,1.0,940.1276595744681
33715,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,106,1563,75156,51,1506,490556,64,42,392,69,2,8,1506,57,103,14,24,1,Eletrônico,Primeiro Grau,1473.6470588235295,325.734395750332
33715,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,29,1774,5460,17,935,884876,3,27,257,77,0,0,935,839,0,1,5,3,Eletrônico,Primeiro Grau,321.1764705882353,946.3914438502674
33716,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,106,1978,29250,50,1950,842299,190,76,296,80,1,6,1950,28,88,19,80,0,Eletrônico,Primeiro Grau,585.0,431.94820512820513
33716,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,37,2024,12955,50,1511,1377397,58,61,232,79,0,0,1511,513,1,3,8,6,Eletrônico,Primeiro Grau,259.1,911.5797485109199
33717,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,4,148,2,2,146,147424,3,0,6,1,0,0,146,2,0,0,0,0,Eletrônico,Primeiro Grau,1.0,1009.7534246575342
33717,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,106,2064,28438,54,2025,884841,27,71,242,105,8,11,2025,39,100,11,6,11,Eletrônico,Primeiro Grau,526.6296296296297,436.95851851851853
33717,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,47,1649,14121,45,1177,1028856,136,46,437,163,0,0,1177,472,1,1,8,2,Eletrônico,Primeiro Grau,313.8,874.1342395921835
33718,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,1,172,38,1,171,172320,1,1,3,0,0,0,171,1,1,0,0,0,Eletrônico,Primeiro Grau,38.0,1007.719298245614
33718,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,108,1755,68172,60,1602,647372,202,100,303,112,4,4,1602,153,112,19,29,23,Eletrônico,Primeiro Grau,1136.2,404.1023720349563
33718,TRT1,Justiça do Trabalho,G1,1,Execução fiscal,Sim,2024-01-31,0,12,3703,1,5,16640,0,0,5,0,0,0,5,7,0,0,0,0,Eletrônico,Primeiro Grau,3703.0,3328.0
33718,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,49,2073,37727,42,1344,1252519,108,70,422,206,0,0,1344,729,2,4,20,1,Eletrônico,Primeiro Grau,898.2619047619048,931.9337797619048
33719,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,109,2119,42309,59,2046,973525,95,64,298,90,1,10,2046,73,101,26,105,7,Eletrônico,Primeiro Grau,717.1016949152543,475.8186705767351
33719,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,38,2345,69743,57,1530,1848777,143,62,387,100,0,0,1530,815,0,5,14,2,Eletrônico,Primeiro Grau,1223.561403508772,1208.3509803921568
33720,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,58,924,42716,87,886,496717,51,103,261,69,0,8,886,38,18,18,11,15,Eletrônico,Primeiro Grau,490.98850574712645,560.6286681715576
33720,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,42,2970,135403,92,2082,2922604,166,67,635,65,0,0,2082,888,0,2,3,1,Eletrônico,Primeiro Grau,1471.7717391304348,1403.7483189241113
33721,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,3,118,3,1,117,109344,0,0,6,0,0,0,117,1,0,0,0,0,Eletrônico,Primeiro Grau,3.0,934.5641025641025
33721,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,69,726,18693,72,667,243420,26,63,188,93,6,3,667,59,63,3,8,1,Eletrônico,Primeiro Grau,259.625,364.9475262368816
33721,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,38,1199,46401,64,780,806404,4,54,287,46,0,1,780,419,2,0,16,2,Eletrônico,Primeiro Grau,725.015625,1033.851282051282
33722,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,0,142,1146,1,140,148419,3,0,11,1,0,0,140,2,1,0,0,0,Eletrônico,Primeiro Grau,1146.0,1060.1357142857144
33722,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,70,1397,36003,63,1333,647165,136,61,328,103,2,7,1333,64,60,12,21,6,Eletrônico,Primeiro Grau,571.4761904761905,485.4951237809452
33722,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,29,1655,20717,37,996,1160244,76,32,332,178,0,0,996,659,2,0,3,0,Eletrônico,Primeiro Grau,559.918918918919,1164.9036144578313
33723,TRT1,Justiça do Trabalho,G1,1,Conhecimento não criminal,Sim,2024-01-31,80,1840,53782,64,1800,830436,186,160,262,242,9,10,1800,40,56,21,32,11,Eletrônico,Primeiro Grau,840.34375,461.35333333333335
33723,TRT1,Justiça do Trabalho,G1,1,Execução judicial,Sim,2024-01-31,57,3005,21783,23,2340,2211068,330,17,391,66,0,0,2340,665,1,2,6,2,Eletrônico,Primeiro Grau,947.0869565217391,944.9008547008547
33724,TRT1,Justiça do Trabalho,G1,1,Outros,Sim,2024-01-31,9,470,8584,6,465,576995,5,4,23,1,0,1,465,5,0,2,1,1,Eletrônico,Primeiro Grau,1430.6666666666667,1240.8494623655913
