sigla_grau_G2,procedimento_2,procedimento_6,procedimento_7,formato_Físico,ind5,ind4,ind6a,ind8a,ind9,ind10,ind11,ind13a,ind13b,ind24,ind25,ind26,bx_tmp,tramit_tmp
0,0,0,0,0,2167,1094,242,206,485,379,8,0,0,6,20,10,1423.4177215189873,1142.7983387171205
0,0,0,0,0,1537,1191,25,68,877,122,1,0,0,4,22,7,1149.557142857143,810.2283669486012
0,0,0,0,0,1883,1360,131,95,379,114,0,0,0,7,38,8,1141.9818181818182,1089.206585236325
0,0,0,0,0,2924,1325,665,51,655,132,0,2,0,7,46,1,1860.6818181818182,1404.608413132695
0,0,0,0,0,952,1181,13,63,587,127,0,0,2,1,4,2,762.4848484848485,1512.1512605042017
0,0,0,0,0,1029,887,60,60,388,89,0,0,0,6,11,1,825.9375,975.5403304178815
0,0,0,0,0,1446,786,196,36,133,20,1,0,1,1,29,1,490.1111111111111,1520.6479944674966
0,0,0,0,0,1981,1197,158,58,658,122,0,0,0,3,7,2,1476.457627118644,1939.2423018677437
0,0,0,0,0,1124,869,59,83,267,318,2,0,0,5,5,1,782.9629629629629,1204.261565836299
0,0,0,0,0,1070,703,12,29,277,64,4,0,0,2,34,2,635.3666666666667,692.0112149532711
0,0,0,0,0,1265,433,205,36,314,59,0,0,0,2,6,1,341.4166666666667,817.5343873517786
0,0,0,0,0,1917,662,363,119,545,18,1,0,0,4,24,8,1556.009708737864,1114.1403234220136
0,0,0,0,0,935,839,3,27,257,77,0,0,0,1,5,3,321.1764705882353,946.3914438502674
0,0,0,0,0,1511,513,58,61,232,79,1,0,0,3,8,6,259.1,911.5797485109199
0,0,0,0,0,1177,472,136,46,437,163,1,0,0,1,8,2,313.8,874.1342395921835
0,0,0,0,0,1344,729,108,70,422,206,2,0,0,4,20,1,898.2619047619048,931.9337797619048
0,0,0,0,0,1530,815,143,62,387,100,0,0,0,5,14,2,1223.561403508772,1208.3509803921568
0,0,0,0,0,2082,888,166,67,635,65,0,0,0,2,3,1,1471.7717391304348,1403.7483189241113
0,0,0,0,0,780,419,4,54,287,46,2,0,1,0,16,2,725.015625,1033.851282051282
0,0,0,0,0,996,659,76,32,332,178,2,0,0,0,3,0,559.918918918919,1164.9036144578313
0,0,0,0,0,2340,665,330,17,391,66,1,0,0,2,6,2,947.0869565217391,944.9008547008547
0,0,0,0,0,1973,808,206,183,579,246,2,0,0,21,56,7,1418.5454545454545,1034.4186517992905
0,0,0,0,0,1660,680,565,97,260,234,1,0,0,8,14,4,762.8709677419355,749.9843373493976
0,0,0,0,0,1368,764,76,53,375,61,2,0,0,7,8,7,913.9090909090909,778.155701754386
0,0,0,0,0,2173,1061,548,43,313,99,17,0,0,1,14,0,865.5405405405405,1202.7717441325356
0,0,0,0,0,663,579,113,66,229,25,5,0,0,2,16,0,753.0344827586207,588.2202111613876
0,0,0,0,0,630,492,19,57,240,517,1,0,0,0,0,0,489.1463414634146,634.3111111111111
0,0,0,0,0,1848,544,96,116,791,121,0,0,3,15,32,5,1046.705357142857,2031.5064935064936
0,0,0,0,0,3237,207,678,64,569,17,2,0,0,5,28,2,2614.1,1995.5752239728142
0,0,0,0,0,1730,715,551,90,387,134,2,0,0,7,31,7,947.25,1775.0826589595376
0,0,0,0,0,1867,659,146,151,674,112,0,0,0,5,26,6,944.625,1625.4611676486343
0,0,0,0,0,2003,559,399,107,721,60,1,0,0,5,5,7,905.5185185185185,1261.7348976535197
0,0,0,0,0,1633,762,116,109,613,86,0,8,0,9,38,5,1509.8507462686566,1267.7679118187384
0,0,0,0,0,1937,476,48,68,662,125,2,0,0,4,10,5,875.8449612403101,1301.3649974186887
0,0,0,0,0,1321,707,78,62,295,86,2,0,0,6,15,6,1051.65,832.5783497350492
0,0,0,0,0,1965,238,0,54,404,32,0,0,0,3,16,4,1582.840909090909,1404.1175572519085
0,0,0,0,0,1972,749,181,15,539,69,4,0,0,0,6,0,1071.5454545454545,1036.8651115618661
0,0,0,0,0,1726,1133,246,38,523,52,2,0,0,0,6,0,1657.6376811594203,1498.4455388180766
0,0,0,0,0,2321,891,1258,38,183,47,1,0,0,3,35,10,1838.6097560975609,1401.6889271865575
0,0,0,0,0,1582,631,34,30,285,99,0,0,0,0,15,0,4866.1875,1618.5404551201011
0,0,0,0,0,2538,877,1097,13,159,78,2,0,0,0,18,2,895.8803418803419,1420.3159968479117
0,0,0,0,0,1775,1079,539,79,206,63,0,0,0,0,12,5,1991.7826086956522,1548.9042253521127
0,0,0,0,0,1565,797,233,103,286,93,5,0,0,0,16,2,1286.517857142857,1188.10607028754
0,0,0,0,0,1107,1094,29,85,444,100,2,0,0,2,18,6,575.1379310344828,824.1544715447154
0,0,0,0,0,1885,1377,202,57,343,106,1,0,0,9,18,3,956.2222222222222,1841.3549071618038
0,0,0,0,0,2103,635,268,57,552,94,0,0,0,5,14,5,1859.3170731707316,1488.5672848311935
0,0,0,0,0,2055,989,249,39,325,90,4,0,0,2,12,3,788.4444444444445,1202.6934306569342
0,0,0,0,0,1292,805,121,22,364,85,0,0,0,5,13,2,953.4615384615385,1114.0410216718267
0,0,0,0,0,911,647,213,66,455,165,14,0,0,3,4,1,1276.1,1531.6366630076839
0,0,0,0,0,1550,1122,238,29,463,82,8,0,0,2,11,3,609.2,1307.7916129032258
0,0,0,0,0,803,719,117,71,258,155,3,0,1,2,12,3,700.5466666666666,917.3972602739726
0,0,0,0,0,1069,867,23,70,550,85,0,0,0,5,19,0,882.5348837209302,1295.4078578110384
0,0,0,0,0,1154,807,48,77,525,92,1,0,0,7,18,8,388.1111111111111,1022.7703639514731
0,0,0,0,0,1055,721,41,65,513,122,0,0,1,4,15,4,947.560975609756,1167.4862559241706
0,0,0,0,0,1717,206,432,37,320,97,2,0,0,3,8,1,896.5925925925926,1711.7361677344204
0,0,0,0,0,1451,1042,46,42,392,98,1,0,0,3,11,4,612.4324324324324,1461.8152997932461
0,0,0,0,0,1131,893,52,138,842,131,3,0,0,5,13,3,913.2597402597403,1651.0680813439435
0,0,0,0,0,892,797,12,75,436,91,2,0,0,1,17,1,760.6307692307693,1346.9035874439462
0,0,0,0,0,1215,402,21,67,485,71,4,0,0,6,19,3,1035.8333333333333,982.9967078189301
0,0,0,0,0,693,689,13,35,298,60,3,0,0,2,10,4,677.304347826087,1009.6089466089466
0,0,0,0,0,1112,480,26,41,455,93,2,0,0,6,34,6,508.93333333333334,1196.125
0,0,0,0,0,1410,662,27,69,321,64,1,1,0,5,20,7,1278.8648648648648,988.1333333333333
0,0,0,0,0,1589,700,59,57,311,105,1,1,0,1,30,1,888.3181818181819,1473.630585273757
0,0,0,0,0,2141,865,486,60,345,82,0,0,0,7,35,8,1204.9411764705883,1587.513778608127
0,0,0,0,0,1624,957,274,34,449,70,2,0,0,4,30,5,2332.7619047619046,1518.5708128078818
0,0,0,0,0,2340,1172,989,53,222,119,0,0,1,7,27,5,2052.2162162162163,1552.4423076923076
0,0,0,0,0,753,711,109,59,552,257,1,0,0,7,29,4,631.4909090909091,914.7901726427623
0,0,0,0,0,1339,923,115,57,372,81,0,0,1,4,6,8,666.2156862745098,1101.7483196415235
0,0,0,0,0,1218,569,101,24,338,36,0,0,1,2,14,2,1365.0833333333333,1229.1912972085386
0,0,0,0,0,1940,730,586,43,347,28,1,0,0,0,45,2,1590.40625,1447.3840206185566
0,0,0,0,0,1500,1019,281,48,273,95,2,0,1,4,10,1,1381.3333333333333,1563.758
0,0,0,0,0,2231,889,71,39,804,214,0,0,0,7,22,7,503.8,1488.8175705961453
0,0,0,0,0,876,829,107,88,363,56,1,0,0,10,20,3,510.6923076923077,733.4280821917808
0,0,0,0,0,805,830,14,83,267,63,0,0,0,13,12,8,1070.6060606060605,1109.1937888198759
0,0,0,0,0,1135,536,29,37,473,102,0,0,0,5,12,6,782.4117647058823,1058.5568281938326
0,0,0,0,0,1112,965,59,69,342,127,5,0,0,2,10,6,1033.1166666666666,1248.9928057553957
