sigla_tribunal,id_orgao_julgador,servidores
STJ,12729,0.00
STJ,33534,28.00
STJ,33535,0.00
STJ,33536,0.00
STJ,33537,0.00
STJ,33538,0.00
STJ,33539,0.00
STJ,33540,0.00
STJ,33541,0.00
STJ,33542,0.00
STJ,33543,0.00
STJ,33544,224.00
STJ,33545,88.00
STJ,33546,20.00
STJ,74254,6.00
STJ,74262,150.00
STJ,74404,59.00
STJ,74405,3.00
STJ,74406,2.00
STJ,76747,28.00
STJ,76748,27.00
STJ,76749,30.00
STJ,76750,23.00
STJ,76751,24.00
STJ,76752,19.00
STJ,76753,28.00
STJ,76754,23.00
STJ,76755,11.00
STJ,76756,20.00
STJ,76757,29.00
STJ,76758,19.00
STJ,76759,27.00
STJ,76760,24.00
STJ,76761,24.00
STJ,76762,22.00
STJ,76763,23.00
STJ,76764,26.00
STJ,76765,23.00
STJ,76766,27.00
STJ,76767,24.00
STJ,76768,21.00
STJ,76769,22.00
STJ,76770,24.00
STJ,76771,22.00
STJ,76772,28.00
STJ,76773,24.00
STJ,76774,29.00
STJ,76775,28.00
STJ,76776,26.00
STJ,76777,31.00
STJ,76778,31.00
STJ,76779,27.00
STJ,76780,0.00
STJ,76781,0.00
STJ,76782,0.00
STJ,76783,0.00
STJ,76784,0.00
STJ,76785,0.00
STJ,76786,0.00
STJ,76787,0.00
STJ,76788,0.00
STJ,76789,0.00
STJ,76790,0.00
STJ,76791,0.00
STJ,76792,0.00
STJ,77980,25.00
STJ,81509,36.00
STJ,81510,31.00
STJ,81511,32.00
STJ,81513,6.00
STJ,81514,5.00
STJ,81515,5.00
STJ,81516,1.00
STJ,81517,27.00
STM,32693,12.00
STM,32694,15.00
STM,32695,16.00
STM,32696,16.00
STM,32697,13.00
STM,32698,14.00
STM,32699,16.00
STM,32700,14.00
STM,32701,16.00
STM,32702,14.00
STM,32703,14.00
STM,32704,16.00
STM,32705,15.00
STM,32706,16.00
STM,32707,15.00
STM,32708,16.00
STM,32709,14.00
STM,32710,15.00
STM,32711,15.00
STM,32712,4.00
STM,32713,5.00
STM,32714,3.00
STM,32715,4.00
STM,32716,3.00
STM,32717,4.00
STM,32718,5.00
STM,32719,4.00
STM,32720,3.00
STM,32721,4.00
STM,32722,3.00
STM,32723,4.00
STM,32724,3.00
STM,32725,4.00
STM,32726,3.00
STM,57066,3.00
STM,71058,4.00
STM,80276,3.00
STM,82292,4.00
STM,82293,3.00
STM,82294,3.00
STM,82295,3.00
TJAC,3588,10.00
TJAC,3589,6.00
TJAC,3590,3.00
TJAC,3591,0.00
TJAC,3592,5.00
TJAC,3593,5.00
TJAC,3594,3.00
TJAC,3595,2.00
TJAC,3596,5.00
TJAC,3597,5.00
TJAC,3598,5.00
TJAC,3599,5.00
TJAC,3600,6.00
TJAC,3601,2.00
TJAC,3602,3.00
TJAC,3603,1.00
TJAC,3604,9.00
TJAC,3605,11.00
TJAC,3606,3.00
TJAC,3607,3.00
TJAC,3608,14.00
TJAC,3609,10.00
TJAC,3610,5.00
TJAC,3611,3.00
TJAC,3612,8.00
TJAC,3613,10.00
TJAC,3614,6.00
TJAC,3615,5.00
TJAC,3616,11.00
TJAC,3617,4.00
TJAC,3618,6.00
TJAC,3619,0.00
TJAC,3620,0.00
TJAC,3621,8.00
TJAC,3622,10.00
TJAC,3623,9.00
TJAC,3624,9.00
TJAC,3625,8.00
TJAC,3626,9.00
TJAC,3627,9.00
TJAC,3628,6.00
TJAC,3629,7.00
TJAC,3630,11.00
TJAC,3631,12.00
TJAC,3632,6.00
TJAC,3633,6.00
TJAC,3634,0.00
TJAC,3635,6.00
TJAC,3636,4.00
TJAC,3637,7.00
TJAC,3638,6.00
TJAC,3639,10.00
TJAC,3640,0.00
TJAC,3641,12.00
TJAC,3642,11.00
TJAC,3643,0.00
TJAC,3644,8.00
TJAC,3645,7.00
TJAC,6379,15.00
TJAC,8148,15.00
TJAC,8149,11.00
TJAC,8150,15.00
TJAC,8151,9.00
TJAC,8152,9.00
TJAC,8153,8.00
TJAC,8154,8.00
TJAC,8155,11.00
TJAC,8156,4.00
TJAC,11046,9.00
TJAC,11674,12.00
TJAC,13730,8.00
TJAC,13734,8.00
TJAC,14075,16.00
TJAC,16317,9.00
TJAC,16425,0.00
TJAC,16426,8.00
TJAC,16493,3.00
TJAC,17049,20.00
TJAC,17050,16.00
TJAC,17051,7.00
TJAC,17052,7.00
TJAC,17053,12.00
TJAC,17054,11.00
TJAC,17991,3.00
TJAC,18083,2.00
TJAC,18552,0.00
TJAC,33547,5.00
TJAC,33548,5.00
TJAC,33549,2.00
TJAC,33550,4.00
TJAC,33551,6.00
TJAC,33552,2.00
TJAC,33553,8.00
TJAC,33554,4.00
TJAC,33555,5.00
TJAC,33556,3.00
TJAC,33557,6.00
TJAC,33558,2.00
TJAC,33559,6.00
TJAC,33560,2.00
TJAC,33561,6.00
TJAC,33562,5.00
TJAC,33563,2.00
TJAC,33564,0.00
TJAC,33565,0.00
TJAC,33566,14.00
